county,year,pm25_mean
Alameda County,2001,11.337367714476986
Alameda County,2002,12.515194190495615
Alameda County,2003,11.746713973175616
Alameda County,2004,10.519770967069672
Alameda County,2005,10.04693993135041
Alameda County,2006,10.53781816757315
Alameda County,2007,10.250983353649042
Alameda County,2008,12.302361871956556
Alameda County,2009,10.709888972733424
Alameda County,2010,9.295201814873973
Alameda County,2011,9.900472131767671
Alameda County,2012,8.24411191217377
Alameda County,2013,11.00061493225178
Alameda County,2014,8.970681448795343
Alpine County,2001,7.686803830136987
Alpine County,2002,8.902170824657535
Alpine County,2003,8.08062393150685
Alpine County,2004,8.087347775956284
Alpine County,2005,7.934022723287671
Alpine County,2006,7.889818057534247
Alpine County,2007,5.296604676712328
Alpine County,2008,7.053057885245902
Alpine County,2009,6.361882643835616
Alpine County,2010,5.6764650082191785
Alpine County,2011,6.121719969863014
Alpine County,2012,4.880946038251366
Alpine County,2013,6.543712876712329
Alpine County,2014,5.618062739726028
Amador County,2001,10.403290986593973
Amador County,2002,12.218641147953424
Amador County,2003,11.029036272452055
Amador County,2004,10.650562450507651
Amador County,2005,10.286229476406575
Amador County,2006,10.67056145114137
Amador County,2007,8.739039150694795
Amador County,2008,10.444600428963115
Amador County,2009,8.417257824341918
Amador County,2010,6.972696292846302
Amador County,2011,7.685671137589589
Amador County,2012,6.84272310261858
Amador County,2013,8.36675887368137
Amador County,2014,7.391469254185479
Butte County,2001,10.039504003552876
Butte County,2002,11.240247098541369
Butte County,2003,10.582500018120822
Butte County,2004,9.622949592734972
Butte County,2005,9.575340520652329
Butte County,2006,9.548044509761644
Butte County,2007,8.43493826048904
Butte County,2008,11.90542428030328
Butte County,2009,8.135902676759999
Butte County,2010,6.726448397479452
Butte County,2011,7.720789141764383
Butte County,2012,6.901922184723498
Butte County,2013,8.65357056299507
Butte County,2014,8.281286124092329
Calaveras County,2001,10.343405991506849
Calaveras County,2002,11.958017780273973
Calaveras County,2003,11.248458550136988
Calaveras County,2004,10.422676448907104
Calaveras County,2005,10.0638389230137
Calaveras County,2006,10.441274625479453
Calaveras County,2007,8.278622795616439
Calaveras County,2008,9.953259284972678
Calaveras County,2009,8.239808925753424
Calaveras County,2010,6.9119487095890415
Calaveras County,2011,7.490274852054794
Calaveras County,2012,6.564585215846994
Calaveras County,2013,8.256749287671234
Calaveras County,2014,7.397673287671232
Colusa County,2001,9.920628076164384
Colusa County,2002,11.080532456986301
Colusa County,2003,10.758622762739726
Colusa County,2004,9.24402539125683
Colusa County,2005,9.036550690410959
Colusa County,2006,9.721229740821919
Colusa County,2007,7.110535166027398
Colusa County,2008,10.410876990163935
Colusa County,2009,7.106684357808219
Colusa County,2010,5.625826906849315
Colusa County,2011,6.696528015342466
Colusa County,2012,6.21477675409836
Colusa County,2013,7.193123315068493
Colusa County,2014,7.6464089424657535
Contra Costa County,2001,11.46410099877507
Contra Costa County,2002,12.697596417416987
Contra Costa County,2003,11.961385946038904
Contra Costa County,2004,10.749035409312022
Contra Costa County,2005,10.043866626829315
Contra Costa County,2006,10.757854144450684
Contra Costa County,2007,9.85463078490411
Contra Costa County,2008,12.071336067440438
Contra Costa County,2009,10.273169484738357
Contra Costa County,2010,8.882426701718355
Contra Costa County,2011,9.46331942069863
Contra Costa County,2012,8.064304108874863
Contra Costa County,2013,10.894634092456439
Contra Costa County,2014,9.42147794441781
Del Norte County,2001,8.035023153417534
Del Norte County,2002,10.441269423087945
Del Norte County,2003,7.822875663406027
Del Norte County,2004,8.008093692423497
Del Norte County,2005,7.551104972207398
Del Norte County,2006,8.226579638362466
Del Norte County,2007,6.155821067307124
Del Norte County,2008,8.238271054268852
Del Norte County,2009,7.226750204298082
Del Norte County,2010,5.508046973384383
Del Norte County,2011,6.030933391004384
Del Norte County,2012,5.344122880554372
Del Norte County,2013,6.460763432490685
Del Norte County,2014,7.738789158512603
El Dorado County,2001,9.58587223675726
El Dorado County,2002,11.354712613171781
El Dorado County,2003,9.65307425293781
El Dorado County,2004,9.999547314094263
El Dorado County,2005,9.719742002744658
El Dorado County,2006,9.998880035226028
El Dorado County,2007,8.176800262820274
El Dorado County,2008,10.269086682345629
El Dorado County,2009,8.011320070992054
El Dorado County,2010,6.701031527749315
El Dorado County,2011,7.3785067228969865
El Dorado County,2012,6.470295477831968
El Dorado County,2013,8.05208066199178
El Dorado County,2014,6.746582310927398
Fresno County,2001,16.510857243781643
Fresno County,2002,17.878551069717258
Fresno County,2003,14.836697564828492
Fresno County,2004,14.571006753254919
Fresno County,2005,14.584944323340547
Fresno County,2006,14.61510963948411
Fresno County,2007,15.51457340610274
Fresno County,2008,15.49609902053798
Fresno County,2009,13.774390199225753
Fresno County,2010,11.763951782448494
Fresno County,2011,13.338244511392876
Fresno County,2012,12.053828246856558
Fresno County,2013,14.481675364494247
Fresno County,2014,14.4350051583937
Glenn County,2001,9.625843941559452
Glenn County,2002,10.827572244749863
Glenn County,2003,10.570324563478357
Glenn County,2004,9.1894009021
Glenn County,2005,9.047914648392055
Glenn County,2006,9.599371526480548
Glenn County,2007,7.813398213702466
Glenn County,2008,11.181357481788524
Glenn County,2009,7.654046334243562
Glenn County,2010,6.309411449773151
Glenn County,2011,7.215650983564658
Glenn County,2012,6.449778597441804
Glenn County,2013,7.786304634710959
Glenn County,2014,8.052669954338356
Humboldt County,2001,7.665036181278082
Humboldt County,2002,8.982415379440548
Humboldt County,2003,8.304425620552054
Humboldt County,2004,7.779868332877596
Humboldt County,2005,7.106157634887671
Humboldt County,2006,8.962361411233424
Humboldt County,2007,6.451712036263288
Humboldt County,2008,9.179500211019127
Humboldt County,2009,7.2473467945271235
Humboldt County,2010,5.661872059908767
Humboldt County,2011,6.113813217252603
Humboldt County,2012,5.243822566477869
Humboldt County,2013,6.3004488538852055
Humboldt County,2014,7.7596183333263005
Imperial County,2001,12.140646571118083
Imperial County,2002,10.631376559090684
Imperial County,2003,14.126859144502193
Imperial County,2004,9.908971398384427
Imperial County,2005,9.336392087236712
Imperial County,2006,9.123815796996713
Imperial County,2007,8.32436282157589
Imperial County,2008,8.40040482478388
Imperial County,2009,8.453054682008768
Imperial County,2010,7.5570573236372605
Imperial County,2011,8.459871619874248
Imperial County,2012,7.914706019747814
Imperial County,2013,7.548357030487945
Imperial County,2014,9.249413205484384
Inyo County,2001,8.692154289501095
Inyo County,2002,8.924876192697534
Inyo County,2003,8.451575547028218
Inyo County,2004,7.805837948992349
Inyo County,2005,7.955140221452055
Inyo County,2006,7.973778726029315
Inyo County,2007,5.10509880274274
Inyo County,2008,6.413661668033879
Inyo County,2009,7.151816052971781
Inyo County,2010,6.054802818264384
Inyo County,2011,6.875124955252876
Inyo County,2012,5.155980760479781
Inyo County,2013,5.441685031965753
Inyo County,2014,5.637128310500548
Kern County,2001,16.649981081703288
Kern County,2002,18.07600779012712
Kern County,2003,13.223023132546574
Kern County,2004,14.3702670926
Kern County,2005,14.262723160887123
Kern County,2006,14.468212554772602
Kern County,2007,14.615513935763287
Kern County,2008,15.26514396186366
Kern County,2009,14.793747517032056
Kern County,2010,11.60611668183452
Kern County,2011,12.263346553164384
Kern County,2012,10.752653014146448
Kern County,2013,13.585534867100275
Kern County,2014,12.698799624781644
Kings County,2001,17.03819890174219
Kings County,2002,18.77164164718685
Kings County,2003,15.172075995648767
Kings County,2004,15.12010811961694
Kings County,2005,15.248442759412876
Kings County,2006,15.050727543388492
Kings County,2007,16.431382947638355
Kings County,2008,16.39277054653743
Kings County,2009,14.455631753718357
Kings County,2010,11.929936713143013
Kings County,2011,13.135062285049315
Kings County,2012,12.469347520737704
Kings County,2013,15.603129287674795
Kings County,2014,14.790806595659726
Lake County,2001,8.522346289503288
Lake County,2002,9.537573113991508
Lake County,2003,9.694428066116163
Lake County,2004,7.96679934044071
Lake County,2005,7.488825507573698
Lake County,2006,8.627423545203834
Lake County,2007,5.542537755263836
Lake County,2008,9.65898664880601
Lake County,2009,6.231629550870137
Lake County,2010,5.052106782462466
Lake County,2011,5.685341934237534
Lake County,2012,5.177570633880328
Lake County,2013,5.884699413697534
Lake County,2014,6.438643227390411
Lassen County,2001,8.693791450826849
Lassen County,2002,9.441793356481096
Lassen County,2003,7.804544173210686
Lassen County,2004,8.230319626278416
Lassen County,2005,8.309851369258903
Lassen County,2006,7.671296451450411
Lassen County,2007,6.708606957075617
Lassen County,2008,9.196488173942077
Lassen County,2009,7.365240628311507
Lassen County,2010,6.028974295583836
Lassen County,2011,6.722251222226028
Lassen County,2012,6.352125585913934
Lassen County,2013,6.279846383565753
Lassen County,2014,6.377305126335342
Los Angeles County,2001,20.67311899743123
Los Angeles County,2002,19.525897862787122
Los Angeles County,2003,17.44364732620959
Los Angeles County,2004,16.82436686339918
Los Angeles County,2005,15.45323282348767
Los Angeles County,2006,14.518809256632602
Los Angeles County,2007,15.131894974195342
Los Angeles County,2008,14.551832346325408
Los Angeles County,2009,13.895188492240822
Los Angeles County,2010,11.284661752331232
Los Angeles County,2011,11.875169853903836
Los Angeles County,2012,11.675433659852187
Los Angeles County,2013,11.520042575021918
Los Angeles County,2014,12.480801860998357
Madera County,2001,14.531980424284932
Madera County,2002,15.73564847506137
Madera County,2003,13.630412275170684
Madera County,2004,13.18895928295765
Madera County,2005,12.958665593566026
Madera County,2006,13.179209512926302
Madera County,2007,12.303894838004931
Madera County,2008,12.974614795682513
Madera County,2009,11.761078697666026
Madera County,2010,9.963310764991233
Madera County,2011,10.969824527589862
Madera County,2012,9.762294369213114
Madera County,2013,11.731695008932054
Madera County,2014,11.356852352603015
Marin County,2001,9.829786208707398
Marin County,2002,10.961128824869315
Marin County,2003,10.632000798110958
Marin County,2004,9.18561379343989
Marin County,2005,8.55573681449041
Marin County,2006,9.292249591823836
Marin County,2007,7.507855312776712
Marin County,2008,10.366591756148907
Marin County,2009,8.879777786816712
Marin County,2010,7.397613677457261
Marin County,2011,7.882287497120547
Marin County,2012,6.631562856428415
Marin County,2013,8.92589261770137
Marin County,2014,9.47005787297315
Mariposa County,2001,11.43593870091096
Mariposa County,2002,12.24221329587863
Mariposa County,2003,11.603178235179726
Mariposa County,2004,10.836822695783606
Mariposa County,2005,10.377201894079452
Mariposa County,2006,10.739944688118356
Mariposa County,2007,8.291116173967398
Mariposa County,2008,9.579059593817213
Mariposa County,2009,8.815999426928768
Mariposa County,2010,7.400909994070411
Mariposa County,2011,8.210610247032877
Mariposa County,2012,6.82507652550601
Mariposa County,2013,8.157407625556164
Mariposa County,2014,7.620532876697535
Mendocino County,2001,7.384450804520548
Mendocino County,2002,8.497355086849316
Mendocino County,2003,8.939177217534246
Mendocino County,2004,7.264788321174863
Mendocino County,2005,6.718292605068493
Mendocino County,2006,7.919260940547946
Mendocino County,2007,5.382249874657534
Mendocino County,2008,9.364926607513661
Mendocino County,2009,6.267468813561644
Mendocino County,2010,5.023537533150685
Mendocino County,2011,5.621887892465754
Mendocino County,2012,4.920465819672131
Mendocino County,2013,5.810467965753424
Mendocino County,2014,6.980445987671232
Merced County,2001,13.812224503624932
Merced County,2002,15.518020853465206
Merced County,2003,13.72858017338548
Merced County,2004,12.91397757879399
Merced County,2005,12.668017491526301
Merced County,2006,13.079777941202194
Merced County,2007,13.113869093446576
Merced County,2008,13.574147270336614
Merced County,2009,11.829438529942191
Merced County,2010,10.145094627275617
Merced County,2011,10.399814495878903
Merced County,2012,9.462218250250546
Merced County,2013,11.870428140890958
Merced County,2014,10.719101706463288
Modoc County,2001,8.016400700684931
Modoc County,2002,9.897091787671233
Modoc County,2003,7.164934898630137
Modoc County,2004,7.338797226092896
Modoc County,2005,8.01809993630137
Modoc County,2006,7.147872621917808
Modoc County,2007,5.449045632191781
Modoc County,2008,7.798712221311475
Modoc County,2009,7.222227213013698
Modoc County,2010,5.772395738356164
Modoc County,2011,6.346213906164384
Modoc County,2012,5.808197943989071
Modoc County,2013,6.068206472602739
Modoc County,2014,5.969496575342466
Mono County,2001,8.53210186302274
Mono County,2002,8.733808105940273
Mono County,2003,8.172993596354521
Mono County,2004,7.879422931695902
Mono County,2005,7.972882633800274
Mono County,2006,7.839358354331506
Mono County,2007,5.1942324392654795
Mono County,2008,6.691426992706558
Mono County,2009,7.053116369865205
Mono County,2010,5.927189413700548
Mono County,2011,6.5922695926942465
Mono County,2012,4.959162632055465
Mono County,2013,5.6075952511498635
Mono County,2014,5.453063470319178
Monterey County,2001,9.990571174009863
Monterey County,2002,11.002385376910958
Monterey County,2003,10.420957422971233
Monterey County,2004,9.864220865528415
Monterey County,2005,9.294746856009588
Monterey County,2006,9.732655967401918
Monterey County,2007,8.497956121789315
Monterey County,2008,9.823181262266122
Monterey County,2009,8.773999658598903
Monterey County,2010,7.2745237600526025
Monterey County,2011,7.927943517605205
Monterey County,2012,6.777969921850819
Monterey County,2013,8.06251169243726
Monterey County,2014,5.698836879072055
Napa County,2001,10.404230703904108
Napa County,2002,11.415743333630138
Napa County,2003,10.883460613424658
Napa County,2004,9.674364323770492
Napa County,2005,8.850263591917809
Napa County,2006,9.870746636369862
Napa County,2007,7.076996757876713
Napa County,2008,10.362371785587431
Napa County,2009,8.02331337431507
Napa County,2010,6.7434658926712325
Napa County,2011,7.066941990410959
Napa County,2012,6.425852553961748
Napa County,2013,7.790393237671233
Napa County,2014,9.288279
Nevada County,2001,9.688299431643836
Nevada County,2002,10.979836414246575
Nevada County,2003,9.330299955479452
Nevada County,2004,9.464122126912569
Nevada County,2005,9.414522570547945
Nevada County,2006,9.585492616164384
Nevada County,2007,7.86661957890411
Nevada County,2008,10.847155595628415
Nevada County,2009,7.5088948060273975
Nevada County,2010,6.457955893150685
Nevada County,2011,6.7989130431506855
Nevada County,2012,6.058637389480874
Nevada County,2013,7.670166119178082
Nevada County,2014,6.815175595890412
Orange County,2001,21.379236347678905
Orange County,2002,19.328604496712877
Orange County,2003,17.69618243792274
Orange County,2004,16.69606345856366
Orange County,2005,15.319426235686576
Orange County,2006,14.543912471679453
Orange County,2007,14.091635565675343
Orange County,2008,13.638055050812294
Orange County,2009,12.714219091072875
